"","strand","stop_pos","n","max_njunc","mean_njunc","mean_qwidth","mean_width","min_mapq","mean_mapq","file_name"
"59","+",4380737,1,0,0,31,25,22,22,"LB-1_R1_ASV.bam"
"60","+",4787492,10,0,0,27.7,27.7,44,44,"LB-1_R1_ASV.bam"
"61","+",5056992,2,0,0,26,26,44,44,"LB-1_R1_ASV.bam"
"62","+",5078115,8,0,0,31,26,24,24,"LB-1_R1_ASV.bam"
"63","+",5174422,2069,0,0,27.5364910584824,27.5282745287579,22,43.6312228129531,"LB-1_R1_ASV.bam"
"64","+",5174425,4,0,0,28.5,25.5,22,29,"LB-1_R1_ASV.bam"
"65","+",5174426,21,0,0,28.3809523809524,25.3809523809524,22,26.6666666666667,"LB-1_R1_ASV.bam"
"66","+",5310832,3,0,0,22,22,22,22,"LB-1_R1_ASV.bam"
"67","+",5383308,2579,0,0,27.747188832881,27.7312911981388,22,43.3780535091121,"LB-1_R1_ASV.bam"
"68","+",5383309,5,0,0,30,29,41,43.4,"LB-1_R1_ASV.bam"
"69","+",5383310,1,0,0,26,24,24,24,"LB-1_R1_ASV.bam"
"70","+",5383318,18,0,0,27.3333333333333,27.3333333333333,44,44,"LB-1_R1_ASV.bam"
"71","+",5383467,1,0,0,25,25,44,44,"LB-1_R1_ASV.bam"
"72","+",5562276,3,0,0,31,31,44,44,"LB-1_R1_ASV.bam"
"73","+",5599358,25,0,0,29.64,29.64,22,38.56,"LB-1_R1_ASV.bam"
"74","+",5599359,125713,0,0,27.5950617676772,27.5896287575668,22,43.583217328359,"LB-1_R1_ASV.bam"
"75","+",5599360,376,0,0,27.4228723404255,26.7686170212766,22,41.6994680851064,"LB-1_R1_ASV.bam"
"76","+",5599361,306,0,0,28.1732026143791,25.6666666666667,22,30.3986928104575,"LB-1_R1_ASV.bam"
"77","+",5599362,212,0,0,27.4811320754717,25.2405660377358,22,31.2452830188679,"LB-1_R1_ASV.bam"
"78","+",5599363,1,0,0,31,27,28,28,"LB-1_R1_ASV.bam"
"79","+",5599364,18,0,0,28.5555555555556,24.3333333333333,22,23.5555555555556,"LB-1_R1_ASV.bam"
"80","+",5599372,6,0,0,26.8333333333333,26.8333333333333,44,44,"LB-1_R1_ASV.bam"
"81","+",5609160,7,0,0,26,26,44,44,"LB-1_R1_ASV.bam"
"82","+",5621133,241,0,0,27.6929460580913,27.6929460580913,22,43.1784232365145,"LB-1_R1_ASV.bam"
"83","+",5772890,15,0,0,29.9333333333333,26.9333333333333,22,32.2666666666667,"LB-1_R1_ASV.bam"
"84","+",5805541,260,0,0,28.1,28.1,22,43.5307692307692,"LB-1_R1_ASV.bam"
"85","+",5805544,1,0,0,32,29,41,41,"LB-1_R1_ASV.bam"
"86","+",5813465,1,0,0,28,28,36,36,"LB-1_R1_ASV.bam"
"87","+",5813466,281699,0,0,27.628120795601,27.6190614805164,22,43.3893304555572,"LB-1_R1_ASV.bam"
"88","+",5813467,135,0,0,27.9407407407407,26.8592592592593,22,39.2444444444444,"LB-1_R1_ASV.bam"
"89","+",5813468,156,0,0,28.0769230769231,25.8974358974359,22,32.3846153846154,"LB-1_R1_ASV.bam"
"90","+",5813469,270,0,0,28.0481481481481,25.237037037037,22,28.0148148148148,"LB-1_R1_ASV.bam"
"91","+",5813470,4,0,0,30,26,22,25,"LB-1_R1_ASV.bam"
"92","+",5813471,1,0,0,31,26,24,24,"LB-1_R1_ASV.bam"
"93","+",5813472,1,0,0,31,25,22,22,"LB-1_R1_ASV.bam"
"94","+",5813473,1,0,0,31,24,22,22,"LB-1_R1_ASV.bam"
"95","+",5843615,2762,0,0,27.6875452570601,27.672338884866,22,43.421433743664,"LB-1_R1_ASV.bam"
"96","+",5843616,2,0,0,26.5,25.5,41,41.5,"LB-1_R1_ASV.bam"
"97","+",5843617,7,0,0,27.4285714285714,25.4285714285714,22,32,"LB-1_R1_ASV.bam"
"98","+",5875221,177,0,0,27.5254237288136,27.5197740112994,22,43.6214689265537,"LB-1_R1_ASV.bam"
"99","+",6003718,2,0,0,25,25,44,44,"LB-1_R1_ASV.bam"
"100","+",6060183,8,0,0,27,25,36,36,"LB-1_R1_ASV.bam"
"101","+",6171081,6,0,0,25,25,44,44,"LB-1_R1_ASV.bam"
"102","+",6365187,12,0,0,31,25,22,22,"LB-1_R1_ASV.bam"
"103","+",6526692,81,0,0,26.962962962963,26.962962962963,22,42.7407407407407,"LB-1_R1_ASV.bam"
"104","+",6526693,1,0,0,27,26,42,42,"LB-1_R1_ASV.bam"
"105","+",6535075,19469,0,0,27.5460475627921,27.5355693666855,22,43.5728080538292,"LB-1_R1_ASV.bam"
"106","+",6535076,61,0,0,26.7540983606557,26.6065573770492,22,42.9016393442623,"LB-1_R1_ASV.bam"
"107","+",6535077,33,0,0,28.0606060606061,26.0606060606061,22,33.0909090909091,"LB-1_R1_ASV.bam"
"108","-",6681,1,0,0,32,24,22,22,"LB-1_R1_ASV.bam"
"109","-",6687,11,0,0,28.4545454545455,24.6363636363636,22,25.4545454545455,"LB-1_R1_ASV.bam"
"110","-",6688,3,0,0,29.6666666666667,25.6666666666667,22,24,"LB-1_R1_ASV.bam"
"111","-",6689,237,0,0,27.3459915611814,26.5864978902954,22,38.1223628691983,"LB-1_R1_ASV.bam"
"112","-",6690,176,0,0,27.8693181818182,25.6079545454545,22,30.0170454545455,"LB-1_R1_ASV.bam"
"113","-",6691,543,0,0,27.7274401473296,27.2541436464088,22,42.1639042357274,"LB-1_R1_ASV.bam"
"114","-",6692,369853,0,0,27.6313400188724,27.6201058258281,22,43.6153769200196,"LB-1_R1_ASV.bam"
"115","-",6693,5,0,0,29,29,24,40,"LB-1_R1_ASV.bam"
"116","-",29073,93,0,0,27.6021505376344,27.6021505376344,44,44,"LB-1_R1_ASV.bam"
"117","-",33776,1,0,0,32,32,44,44,"LB-1_R1_ASV.bam"
"118","-",102964,4,0,0,31,28,36,36,"LB-1_R1_ASV.bam"
"119","-",120710,53,0,0,27.3584905660377,25.3584905660377,22,32.1509433962264,"LB-1_R1_ASV.bam"
"120","-",220356,25,0,0,27.76,26.76,36,41.8,"LB-1_R1_ASV.bam"
"121","-",307030,26,0,0,29.2307692307692,26.2307692307692,22,30.0769230769231,"LB-1_R1_ASV.bam"
"122","-",307033,5,0,0,29,29,22,27.6,"LB-1_R1_ASV.bam"
"123","-",356329,6,0,0,29.3333333333333,26.3333333333333,22,31.3333333333333,"LB-1_R1_ASV.bam"
"124","-",407972,812,0,0,27.878078817734,27.8793103448276,22,43.6613300492611,"LB-1_R1_ASV.bam"
"125","-",411890,16,0,0,30.0625,30.0625,28,43,"LB-1_R1_ASV.bam"
"126","-",429310,7,0,0,31,31,44,44,"LB-1_R1_ASV.bam"
"127","-",436011,2,0,0,31,31,44,44,"LB-1_R1_ASV.bam"
"128","-",436264,4,0,0,27.75,24.75,22,26.5,"LB-1_R1_ASV.bam"
"129","-",436265,28,0,0,29.2142857142857,26.2142857142857,24,32.5,"LB-1_R1_ASV.bam"
"130","-",436266,6343,0,0,27.6225760681066,27.594828945294,22,43.4512060539177,"LB-1_R1_ASV.bam"
"131","-",436267,460,0,0,28.0521739130435,24.9891304347826,22,26.9739130434783,"LB-1_R1_ASV.bam"
"132","-",436268,473,0,0,28.107822410148,26.0232558139535,22,32.1057082452431,"LB-1_R1_ASV.bam"
"133","-",436269,1939,0,0,27.4074265085095,26.3764827230531,22,40.7957710159876,"LB-1_R1_ASV.bam"
"134","-",436270,1131028,0,0,27.6104393525182,27.5945980117203,22,43.4928931909732,"LB-1_R1_ASV.bam"
"135","-",436271,10,0,0,28.8,28.7,42,43.2,"LB-1_R1_ASV.bam"
"136","-",520924,1,0,0,26,26,44,44,"LB-1_R1_ASV.bam"
"137","-",624372,1,0,0,31,29,42,42,"LB-1_R1_ASV.bam"
"138","-",624373,1,0,0,25,24,36,36,"LB-1_R1_ASV.bam"
"139","-",624374,1177,0,0,27.6287170773152,27.5904842820731,22,43.7833474936279,"LB-1_R1_ASV.bam"
"140","-",750273,18,0,0,27.6666666666667,27.6111111111111,36,43.5555555555556,"LB-1_R1_ASV.bam"
"141","-",754526,311,0,0,29.048231511254,29.048231511254,22,29.4147909967846,"LB-1_R1_ASV.bam"
"142","-",754534,4,0,0,29.75,25.75,22,25.5,"LB-1_R1_ASV.bam"
"143","-",754535,12,0,0,28.9166666666667,25.9166666666667,22,26.6666666666667,"LB-1_R1_ASV.bam"
"144","-",754536,256,0,0,28.73046875,26.98828125,22,37.38671875,"LB-1_R1_ASV.bam"
"145","-",754537,27,0,0,28,26.7777777777778,22,40.2962962962963,"LB-1_R1_ASV.bam"
"146","-",754538,84877,0,0,27.6525442699436,27.6356021065778,22,43.4652968413115,"LB-1_R1_ASV.bam"
"147","-",754539,1,0,0,32,32,44,44,"LB-1_R1_ASV.bam"
"148","-",818663,7,0,0,31,24,22,22,"LB-1_R1_ASV.bam"
"149","-",830982,5,0,0,27,23,22,22,"LB-1_R1_ASV.bam"
"150","-",980428,8,0,0,28,26,36,37.5,"LB-1_R1_ASV.bam"
"151","-",989551,2,0,0,28,26,22,32,"LB-1_R1_ASV.bam"
"152","-",989553,2491,0,0,27.8892011240466,27.8843837816138,22,43.7543155359293,"LB-1_R1_ASV.bam"
"153","-",1241368,1,0,0,31,29,42,42,"LB-1_R1_ASV.bam"
"154","-",1241370,1888,0,0,27.5508474576271,27.5259533898305,22,43.7648305084746,"LB-1_R1_ASV.bam"
"155","-",1273160,2,0,0,31,26,24,24,"LB-1_R1_ASV.bam"
"156","-",1417101,1,0,0,26,25,41,41,"LB-1_R1_ASV.bam"
"157","-",1417102,804,0,0,27.7723880597015,27.7624378109453,22,43.2823383084577,"LB-1_R1_ASV.bam"
"158","-",1431064,22,0,0,28,25,22,26.4545454545455,"LB-1_R1_ASV.bam"
"159","-",1431065,16,0,0,28.25,26.4375,24,36.5,"LB-1_R1_ASV.bam"
"160","-",1431066,41,0,0,27.3414634146341,26.5609756097561,24,41.3414634146341,"LB-1_R1_ASV.bam"
"161","-",1431067,56295,0,0,27.629540811795,27.6200195399236,22,43.6538413713474,"LB-1_R1_ASV.bam"
"162","-",1482850,89,0,0,27.3483146067416,27.3483146067416,44,44,"LB-1_R1_ASV.bam"
"163","-",1483947,40,0,0,27.375,25.125,22,31.5,"LB-1_R1_ASV.bam"
"164","-",1483948,93,0,0,28,26.2688172043011,22,37.5913978494624,"LB-1_R1_ASV.bam"
"165","-",1483949,21,0,0,27.7142857142857,26.7619047619048,36,40.8571428571429,"LB-1_R1_ASV.bam"
"166","-",1483950,42767,0,0,27.6183272149087,27.6077583183296,22,43.5913437931115,"LB-1_R1_ASV.bam"
"167","-",1483951,1,0,0,28,28,44,44,"LB-1_R1_ASV.bam"
"168","-",1754190,31,0,0,28.6774193548387,28.6774193548387,22,27.8709677419355,"LB-1_R1_ASV.bam"
"169","-",2017514,1,0,0,31,29,42,42,"LB-1_R1_ASV.bam"
"170","-",2017516,363,0,0,27.4738292011019,27.4738292011019,22,43.7520661157025,"LB-1_R1_ASV.bam"
"171","-",2068789,13,0,0,29.4615384615385,25.4615384615385,22,25.6923076923077,"LB-1_R1_ASV.bam"
"172","-",2068798,1,0,0,27,26,42,42,"LB-1_R1_ASV.bam"
"173","-",2068799,1416,0,0,27.6228813559322,27.6108757062147,22,43.6737288135593,"LB-1_R1_ASV.bam"
"174","-",2188139,1,0,0,27,24,22,22,"LB-1_R1_ASV.bam"
"175","-",2199251,2,0,0,31,28,36,36,"LB-1_R1_ASV.bam"
"176","-",2199252,2,0,0,29,27,24,30,"LB-1_R1_ASV.bam"
"177","-",2199253,7,0,0,26,24.8571428571429,22,35.8571428571429,"LB-1_R1_ASV.bam"
"178","-",2199254,15232,0,0,27.6373424369748,27.6142331932773,22,43.2430409663866,"LB-1_R1_ASV.bam"
"179","-",2233113,39,0,0,28.0512820512821,28.0512820512821,41,43.9230769230769,"LB-1_R1_ASV.bam"
"180","-",2258554,1,0,0,31,27,28,28,"LB-1_R1_ASV.bam"
"181","-",2258558,2,0,0,31,24,22,22,"LB-1_R1_ASV.bam"
"182","-",2258561,1,0,0,31,26,24,24,"LB-1_R1_ASV.bam"
"183","-",2258562,2,0,0,29,25,22,25,"LB-1_R1_ASV.bam"
"184","-",2258563,73,0,0,29.3150684931507,25.6438356164384,22,26.4383561643836,"LB-1_R1_ASV.bam"
"185","-",2258564,273,0,0,27.7875457875458,25.7948717948718,22,31.7069597069597,"LB-1_R1_ASV.bam"
"186","-",2258565,447,0,0,27.751677852349,26.9597315436242,22,41.5078299776286,"LB-1_R1_ASV.bam"
"187","-",2258566,189538,0,0,27.6080416591924,27.592809885089,22,43.5807859110047,"LB-1_R1_ASV.bam"
"188","-",2259944,21,0,0,29.5714285714286,27.5714285714286,22,37.3333333333333,"LB-1_R1_ASV.bam"
"189","-",2259945,1,0,0,26,24,24,24,"LB-1_R1_ASV.bam"
"190","-",2259946,3,0,0,29.6666666666667,28.6666666666667,22,36.6666666666667,"LB-1_R1_ASV.bam"
"191","-",2259947,6765,0,0,27.7243163340724,27.7110125646711,22,43.7711751662971,"LB-1_R1_ASV.bam"
"192","-",2354142,10,0,0,29,29,44,44,"LB-1_R1_ASV.bam"
"193","-",2471436,2,0,0,31,28,36,36,"LB-1_R1_ASV.bam"
"194","-",2471439,1491,0,0,27.7062374245473,27.7028839704896,22,42.934942991281,"LB-1_R1_ASV.bam"
"195","-",2530008,1,0,0,31,24,22,22,"LB-1_R1_ASV.bam"
"196","-",2658561,9,0,0,29.3333333333333,25.2222222222222,22,24.8888888888889,"LB-1_R1_ASV.bam"
"197","-",2658564,19,0,0,28.5263157894737,26.4210526315789,22,32.6315789473684,"LB-1_R1_ASV.bam"
"198","-",2658565,9,0,0,29.4444444444444,28.4444444444444,36,42.6666666666667,"LB-1_R1_ASV.bam"
"199","-",2658566,3896,0,0,27.833932238193,27.8267453798768,22,43.7879876796715,"LB-1_R1_ASV.bam"
"200","-",3298549,1,0,0,31,31,44,44,"LB-1_R1_ASV.bam"
"201","-",3599985,66,0,0,27.5757575757576,25.5757575757576,22,31.5151515151515,"LB-1_R1_ASV.bam"
"202","-",3653219,20,0,0,29.3,28.3,41,43.1,"LB-1_R1_ASV.bam"
"203","-",3699634,3,0,0,28.6666666666667,26.6666666666667,36,38,"LB-1_R1_ASV.bam"
"204","-",3699635,3,0,0,27.3333333333333,26.3333333333333,42,42,"LB-1_R1_ASV.bam"
"205","-",3699636,10149,0,0,27.6338555522712,27.6174007291359,22,43.6980983348113,"LB-1_R1_ASV.bam"
"206","-",3939314,23,0,0,29.0869565217391,29.0869565217391,24,43.1304347826087,"LB-1_R1_ASV.bam"
"207","-",4033308,13,0,0,28.7692307692308,28.7692307692308,44,44,"LB-1_R1_ASV.bam"
"208","-",4297125,9,0,0,27.8888888888889,27.8888888888889,44,44,"LB-1_R1_ASV.bam"
"209","-",4397591,125,0,0,27.744,27.744,22,43.824,"LB-1_R1_ASV.bam"
"210","-",4399098,128,0,0,27.1015625,24.0859375,22,23.453125,"LB-1_R1_ASV.bam"
"211","-",4399099,231,0,0,26.7056277056277,24.6320346320346,22,29.3160173160173,"LB-1_R1_ASV.bam"
"212","-",4399100,658,0,0,28.5835866261398,26.5227963525836,22,33.9863221884498,"LB-1_R1_ASV.bam"
"213","-",4399101,860,0,0,27.2848837209302,26.4918604651163,22,41.2755813953488,"LB-1_R1_ASV.bam"
"214","-",4399102,352218,0,0,27.6125098660489,27.6023882936136,22,43.6607300024417,"LB-1_R1_ASV.bam"
"215","-",4399103,4,0,0,27.5,27.5,22,33,"LB-1_R1_ASV.bam"
"216","-",4768172,20,0,0,27,27,22,42.9,"LB-1_R1_ASV.bam"
"217","-",4830311,9,0,0,26.3333333333333,25.6666666666667,42,42.6666666666667,"LB-1_R1_ASV.bam"
"218","-",4855157,18,0,0,27.8333333333333,27.8333333333333,44,44,"LB-1_R1_ASV.bam"
"219","-",5082752,5,0,0,27,27,44,44,"LB-1_R1_ASV.bam"
"220","-",5098488,2,0,0,31,26,24,24,"LB-1_R1_ASV.bam"
"221","-",5157950,1,0,0,27,26,22,22,"LB-1_R1_ASV.bam"
"222","-",5157951,201,0,0,27.8059701492537,27.7114427860697,22,42.2338308457711,"LB-1_R1_ASV.bam"
"223","-",5206386,1,0,0,27,27,44,44,"LB-1_R1_ASV.bam"
"224","-",5264032,1,0,0,31,25,22,22,"LB-1_R1_ASV.bam"
"225","-",5276255,5,0,0,29.8,28.8,36,42.4,"LB-1_R1_ASV.bam"
"226","-",5492588,24,0,0,28.3333333333333,28.3333333333333,22,42.0416666666667,"LB-1_R1_ASV.bam"
"227","-",5517139,29,0,0,28.3103448275862,26.3103448275862,22,32,"LB-1_R1_ASV.bam"
"228","-",5578625,32,0,0,31,25,22,22,"LB-1_R1_ASV.bam"
"229","-",5592185,40,0,0,27.6,27.6,44,44,"LB-1_R1_ASV.bam"
"230","-",5612491,4,0,0,27,27,44,44,"LB-1_R1_ASV.bam"
"231","-",5713903,47,0,0,27.7872340425532,26.7872340425532,36,41.1702127659574,"LB-1_R1_ASV.bam"
"232","-",5820759,8,0,0,27,27,44,44,"LB-1_R1_ASV.bam"
"233","+",127907,17,0,0,28.4117647058824,28.4117647058824,24,42.8235294117647,"LB-1_R1_LAA.bam"
"234","+",647194,5,0,0,26,26,44,44,"LB-1_R1_LAA.bam"
"235","+",647195,12,0,0,26.8333333333333,26.8333333333333,44,44,"LB-1_R1_LAA.bam"
"236","+",647198,1,0,0,31,28,36,36,"LB-1_R1_LAA.bam"
"237","+",649129,30,0,0,26.7333333333333,23.7333333333333,22,22.6666666666667,"LB-1_R1_LAA.bam"
"238","+",649140,2,0,0,27,27,44,44,"LB-1_R1_LAA.bam"
"239","+",671704,9,0,0,29.8888888888889,29.8888888888889,44,44,"LB-1_R1_LAA.bam"
"240","+",719522,6,0,0,31,32,22,27,"LB-1_R1_LAA.bam"
"241","+",1054723,3178,0,0,27.0412208936438,27.0361862806797,22,43.5431088735053,"LB-1_R1_LAA.bam"
"242","+",1054724,3,0,0,28.3333333333333,27.3333333333333,42,42.6666666666667,"LB-1_R1_LAA.bam"
"243","+",1054725,60,0,0,28.1333333333333,26.1333333333333,22,35.1333333333333,"LB-1_R1_LAA.bam"
"244","+",2233277,4677,0,0,27.9230275817832,28.0406243318366,22,42.0273679709215,"LB-1_R1_LAA.bam"
"245","+",2233278,3,0,0,27.6666666666667,25.6666666666667,28,36.6666666666667,"LB-1_R1_LAA.bam"
"246","+",2233279,4,0,0,26.5,24.5,22,32.5,"LB-1_R1_LAA.bam"
"247","+",2607843,7,0,0,26,26,44,44,"LB-1_R1_LAA.bam"
"248","+",2607844,227,0,0,27.5594713656388,27.5418502202643,22,43.8678414096916,"LB-1_R1_LAA.bam"
"249","+",2607846,1008,0,0,27.6577380952381,25.656746031746,22,33.1269841269841,"LB-1_R1_LAA.bam"
"250","+",2607847,2,0,0,28.5,25.5,22,29,"LB-1_R1_LAA.bam"
"251","+",3660471,5,0,0,28.4,28.4,44,44,"LB-1_R1_LAA.bam"
"252","+",3688550,2,0,0,31,31,44,44,"LB-1_R1_LAA.bam"
"253","+",3913660,71,0,0,27,27.0422535211268,22,42.6056338028169,"LB-1_R1_LAA.bam"
"254","+",3913661,3,0,0,27,27,44,44,"LB-1_R1_LAA.bam"
"255","+",4360770,16,0,0,29,25,22,25,"LB-1_R1_LAA.bam"
"256","+",5174422,1504,0,0,27.7413563829787,27.7327127659574,22,43.5465425531915,"LB-1_R1_LAA.bam"
"257","+",5174424,1,0,0,27,25,36,36,"LB-1_R1_LAA.bam"
"258","+",5383308,2,0,0,27,27,44,44,"LB-1_R1_LAA.bam"
"259","+",5599358,11,0,0,25.0909090909091,25.0909090909091,44,44,"LB-1_R1_LAA.bam"
"260","+",5599359,2583,0,0,28.4912891986063,28.4897406116918,22,43.8192024777391,"LB-1_R1_LAA.bam"
"261","+",5599360,3006,0,0,27.8446440452428,27.8230206254158,22,43.6936127744511,"LB-1_R1_LAA.bam"
"262","+",5599361,30,0,0,28.4333333333333,26,22,32.6,"LB-1_R1_LAA.bam"
"263","+",5599362,3873,0,0,27.7157242447715,25.713400464756,22,32.6728634133746,"LB-1_R1_LAA.bam"
"264","+",5599363,10,0,0,28.5,25.3,22,27.6,"LB-1_R1_LAA.bam"
"265","+",5599364,1,0,0,27,23,22,22,"LB-1_R1_LAA.bam"
"266","+",5599372,1948,0,0,27.64681724846,27.6416837782341,22,43.7068788501027,"LB-1_R1_LAA.bam"
"267","+",5599373,2,0,0,31,30,22,33,"LB-1_R1_LAA.bam"
"268","+",5621133,33,0,0,27.7575757575758,27.6969696969697,42,43.9393939393939,"LB-1_R1_LAA.bam"
"269","+",5805541,12,0,0,28,28,44,44,"LB-1_R1_LAA.bam"
"270","+",5813466,253,0,0,27.6521739130435,27.6245059288538,22,43.0750988142292,"LB-1_R1_LAA.bam"
"271","+",5813467,48,0,0,26.7708333333333,26.7708333333333,22,43.5416666666667,"LB-1_R1_LAA.bam"
"272","+",5813468,28512,0,0,28.1620721099888,25.1576178451178,22,26.9375701459035,"LB-1_R1_LAA.bam"
"273","+",5813469,8,0,0,29.5,25.5,22,25.75,"LB-1_R1_LAA.bam"
"274","+",5813470,6,0,0,31,26,24,24,"LB-1_R1_LAA.bam"
"275","+",5813472,1,0,0,31,24,22,22,"LB-1_R1_LAA.bam"
"276","+",6171081,157,0,0,25.375796178344,25.2356687898089,22,42.6496815286624,"LB-1_R1_LAA.bam"
"277","+",6171083,4,0,0,31,30,44,44,"LB-1_R1_LAA.bam"
"278","+",6171091,73,0,0,27.6849315068493,24.6849315068493,22,25.4520547945205,"LB-1_R1_LAA.bam"
"279","+",6432222,6,0,0,27.8333333333333,27.8333333333333,44,44,"LB-1_R1_LAA.bam"
"280","+",6447555,29,0,0,26.6206896551724,26.6206896551724,44,44,"LB-1_R1_LAA.bam"
"281","+",6524494,1,0,0,25,25,44,44,"LB-1_R1_LAA.bam"
"282","+",6535075,6,0,0,28.5,28.5,44,44,"LB-1_R1_LAA.bam"
